 Rank  Case ID                          Dice_WT   Dice_TC   Dice_ET   Mean_Dice
--------------------------------------------------------------------------------
    1  BraTS2021_01405                   0.4212    0.0110    0.0117      0.1480
    2  BraTS2021_01333                   0.0917    0.2049    0.2022      0.1663
    3  BraTS2021_00170                   0.4956    0.0024    0.0026      0.1669
    4  BraTS2021_00694                   0.5329    0.0338    0.0036      0.1901
    5  BraTS2021_00496                   0.6009    0.0000    0.0000      0.2003
    6  BraTS2021_00540                   0.6662    0.0045    0.0045      0.2250
    7  BraTS2021_00284                   0.4895    0.1020    0.1185      0.2366
    8  BraTS2021_01422                   0.7133    0.0104    0.0000      0.2412
    9  BraTS2021_01531                   0.7511    0.0272    0.0031      0.2605
   10  BraTS2021_00412                   0.8170    0.0007    0.0011      0.2729
   11  BraTS2021_00432                   0.7986    0.0097    0.0138      0.2740
   12  BraTS2021_00659                   0.6065    0.2585    0.0391      0.3014
   13  BraTS2021_01077                   0.6703    0.1307    0.1871      0.3294
   14  BraTS2021_00656                   0.8649    0.0760    0.1023      0.3478
   15  BraTS2021_00155                   0.5982    0.2411    0.2182      0.3525
   16  BraTS2021_01483                   0.7723    0.3764    0.0000      0.3829
   17  BraTS2021_01070                   0.6625    0.3846    0.1623      0.4031
   18  BraTS2021_01137                   0.5376    0.3990    0.2979      0.4115
   19  BraTS2021_01314                   0.7810    0.4657    0.0088      0.4185
   20  BraTS2021_01505                   0.7886    0.3513    0.1298      0.4232
   21  BraTS2021_01536                   0.7865    0.1795    0.3563      0.4408
   22  BraTS2021_01532                   0.7833    0.1600    0.3939      0.4457
   23  BraTS2021_01528                   0.8150    0.5239    0.0000      0.4463
   24  BraTS2021_00557                   0.8425    0.3858    0.1231      0.4505
   25  BraTS2021_01652                   0.8469    0.2072    0.3418      0.4653
   26  BraTS2021_01523                   0.7654    0.4734    0.1654      0.4681
   27  BraTS2021_01230                   0.6631    0.5041    0.2827      0.4833
   28  BraTS2021_00338                   0.8379    0.3287    0.3088      0.4918
   29  BraTS2021_01308                   0.6349    0.4884    0.4650      0.5294
   30  BraTS2021_00222                   0.7719    0.4643    0.3977      0.5446
   31  BraTS2021_01170                   0.6905    0.4949    0.4907      0.5587
   32  BraTS2021_00734                   0.7670    0.5497    0.3914      0.5693
   33  BraTS2021_00294                   0.8659    0.5000    0.3806      0.5822
   34  BraTS2021_00588                   0.6918    0.5237    0.5345      0.5833
   35  BraTS2021_01575                   0.8839    0.3586    0.5104      0.5843
   36  BraTS2021_01152                   0.7760    0.5149    0.4694      0.5867
   37  BraTS2021_01469                   0.6209    0.6796    0.4675      0.5893
   38  BraTS2021_01178                   0.7208    0.6381    0.4135      0.5908
   39  BraTS2021_00134                   0.8796    0.4868    0.4080      0.5915
   40  BraTS2021_01031                   0.7165    0.4862    0.5735      0.5921
   41  BraTS2021_00116                   0.7954    0.5435    0.4420      0.5936
   42  BraTS2021_00547                   0.6674    0.6753    0.4433      0.5953
   43  BraTS2021_01488                   0.8013    0.5925    0.4149      0.6029
   44  BraTS2021_01417                   0.7211    0.6059    0.4835      0.6035
   45  BraTS2021_00382                   0.7959    0.7128    0.3258      0.6115
   46  BraTS2021_01201                   0.7972    0.6492    0.3979      0.6148
   47  BraTS2021_00820                   0.6994    0.6105    0.5530      0.6210
   48  BraTS2021_00456                   0.8617    0.6159    0.3890      0.6222
   49  BraTS2021_00251                   0.6828    0.7602    0.4470      0.6300
   50  BraTS2021_00417                   0.8700    0.6418    0.3844      0.6321
   51  BraTS2021_00087                   0.7824    0.6192    0.4977      0.6331
   52  BraTS2021_00032                   0.8112    0.5909    0.5064      0.6362
   53  BraTS2021_00834                   0.7413    0.6316    0.5426      0.6385
   54  BraTS2021_00367                   0.6928    0.6568    0.5665      0.6387
   55  BraTS2021_01229                   0.6912    0.7593    0.4678      0.6394
   56  BraTS2021_00324                   0.8077    0.6084    0.5110      0.6423
   57  BraTS2021_01402                   0.7630    0.5760    0.5902      0.6431
   58  BraTS2021_01065                   0.8287    0.6750    0.4325      0.6454
   59  BraTS2021_00343                   0.7081    0.6725    0.5635      0.6480
